date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-25 12:25:57,SarahMillican75,SambinoChildish,1,0,6,"Hello, so sorry to hear of your loss. It’s so hard to be strong for others when you yourself are grieving too. Sending lots of love. Christmas is hard. I’m sure your friends would like to you know you need some company. Also, we’re all here too. #joinin xxx",,,#joinin,1077540952691097600,https://twitter.com/SarahMillican75/status/1077540952691097600
2018-12-25 12:23:37,SarahMillican75,localdad1,1,1,9,Lovely Treacle. #joinin,,,#joinin,1077540363852759041,https://twitter.com/SarahMillican75/status/1077540363852759041
2018-12-25 12:23:04,SarahMillican75,blckburn,0,0,9,"Hello, I’m so sorry you’re having a tough time. Christmas can be really hard. Sending lots of love to you. Lots of nice folk to chat to on here if you need them. #joinin xxx",,,#joinin,1077540225944039425,https://twitter.com/SarahMillican75/status/1077540225944039425
2018-12-25 12:20:54,SarahMillican75,FlumblesMum,2,0,3,"They sound like ace plans, Angie. Palms violets gin? Who knew such a thing existed! #joinin",,,#joinin,1077539682362294277,https://twitter.com/SarahMillican75/status/1077539682362294277
2018-12-25 12:19:44,SarahMillican75,Michele1960Pym,1,0,19,Thanks for doing that Michele. And thanks to all of the @samaritans. They do such an amazing job. Xx #joinin,,@samaritans,#joinin,1077539388509302786,https://twitter.com/SarahMillican75/status/1077539388509302786
2018-12-25 12:19:05,SarahMillican75,,1,4,347,Huge hugs to you Tracy. What a tough time. I’m not surprised you’re struggling. Sending lots of love. Lots of people here for you if you need them. Xx #joinin,,,#joinin,1077539225678069760,https://twitter.com/SarahMillican75/status/1077539225678069760
2018-12-25 12:17:43,SarahMillican75,CarolineAldrid5,0,0,1,Thanks Caroline x,,,,1077538881665466368,https://twitter.com/SarahMillican75/status/1077538881665466368
2018-12-25 12:16:53,SarahMillican75,MoshMoses,1,0,1,Sending love to you. #joinin,,,#joinin,1077538670041812992,https://twitter.com/SarahMillican75/status/1077538670041812992
2018-12-25 12:15:23,SarahMillican75,Hollie_Babbitt,1,0,32,"That sounds understandable, Hollie. So sorry you’re having to deal with this. Sending lots of love and cat strokes. #joinin",,,#joinin,1077538293565263872,https://twitter.com/SarahMillican75/status/1077538293565263872
2018-12-25 12:11:55,SarahMillican75,louvb,0,0,3,We are here if you need us. Just use the hashtag #joinin. X,,,#joinin,1077537419363344386,https://twitter.com/SarahMillican75/status/1077537419363344386
2018-12-25 12:11:17,SarahMillican75,Mr_Picard,2,0,1,Was Clayton Farlow the character played by Howard Keel? Have you seen him in 7 Brides for 7 Brothers? JR and Sue Ellen are excellent characters. We had Stephanie Beacham on @StandardIssueUK podcast last December and she was incredible! #joinin,,@StandardIssueUK,#joinin,1077537261867188224,https://twitter.com/SarahMillican75/status/1077537261867188224
2018-12-25 12:06:51,SarahMillican75,hookyhelen,1,0,2,"Sending love, Helen. #joinin",,,#joinin,1077536147813871616,https://twitter.com/SarahMillican75/status/1077536147813871616
2018-12-25 12:06:22,SarahMillican75,Kerry_Evenden,1,0,11,They are a bunch of smashers. That is a fact. Much love to you friend. That’s so sad. #joinin,,,#joinin,1077536023679287297,https://twitter.com/SarahMillican75/status/1077536023679287297
2018-12-25 12:05:52,SarahMillican75,hiya_itslauren,1,0,2,"That is rubbish, Lauren. Have you got anything fun planned for after you finish work? #joinin",,,#joinin,1077535900446457858,https://twitter.com/SarahMillican75/status/1077535900446457858
